Station Category,Station Type,ID Hash,WMO ID,Alternative IDs,Ort,"Location Lat,Lon",elevation,id_meteomatics
SYNOP,SYNO,3862395847,67810.0,TAV,Tavanasa,"46.7507,9.04522",800.0,"46.7507,9.04522"
SYNOP,SYNO,3863111082,,VSANZ,Anzère,"46.3052,7.40757",1614.0,"46.3052,7.40757"
SYNOP,SYNO,3865854337,,VSBLI,Blinnen,"46.457,8.25979",1530.0,"46.457,8.25979"
SYNOP,SYNO,3878223074,66800.0,SAE,Säntis,"47.2495,9.34347",2501.0,"47.2495,9.34347"
SYNOP,SYNO,3914716318,67440.0,GRH,Grimsel Hospiz,"46.5717,8.33326",1980.0,"46.5717,8.33326"
SYNOP,SYNO,3915838063,,UNS,Unterschächen,"46.8713,8.77529",1470.0,"46.8713,8.77529"
SYNOP,SYNO,3919703301,,OBI,Oberiberg,"47.0374,8.77866",1075.0,"47.0374,8.77866"
SYNOP,SYNO,3922008687,,DOB,Benken / Doggen,"47.1887,8.96121",408.0,"47.1887,8.96121"
SYNOP,SYNO,3932541266,,APP,Appenzell,"47.3396,9.39731",750.0,"47.3396,9.39731"
SYNOP,SYNO,3950937086,,EKO,Eschlikon,"47.4521,8.97288",578.0,"47.4521,8.97288"
SYNOP,SYNO,3992175756,,VSFIN,Findelen,"46.011,7.77839",2170.0,"46.011,7.77839"
SYNOP,SYNO,4005707932,,GWA,Grindelwald,"46.6191,8.0067",1107.0,"46.6191,8.0067"
SYNOP,SYNO,4033447572,,VEL,Vella,"46.719,9.17379",1245.0,"46.719,9.17379"
SYNOP,SYNO,4041514352,,SPZ,St. Peterzell,"47.3171,9.17473",700.0,"47.3171,9.17473"
SYNOP,SYNO,4045932777,,TRU,Trun,"46.7444,9.00884",834.0,"46.7444,9.00884"
SYNOP,SYNO,4053779294,66900.0,ARH,Altenrhein,"47.4836,9.56685",398.0,"47.4836,9.56685"
SYNOP,SYNO,4056350011,,WIS,Wimmis,"46.6708,7.6647",648.0,"46.6708,7.6647"
SYNOP,SYNO,4065245554,66680.0,GOS,Göschenen,"46.6927,8.59536",950.0,"46.6927,8.59536"
SYNOP,SYNO,4066074557,,DIE,Diessenhofen,"47.6917,8.72713",404.0,"47.6917,8.72713"
SYNOP,SYNO,4069919022,,SDO,Splügen,"46.5526,9.32197",1460.0,"46.5526,9.32197"
SYNOP,SYNO,4075188289,66440.0,MOA,Mosen,"47.2439,8.23283",453.0,"47.2439,8.23283"
SYNOP,SYNO,4088031572,66860.0,RAG,Bad Ragaz,"47.0166,9.50259",497.0,"47.0166,9.50259"
SYNOP,SYNO,4099372194,,VSCHO,Choëx,"46.2321,6.96136",891.0,"46.2321,6.96136"
SYNOP,SYNO,4099877657,,CUE,La Cure,"46.4603,6.07564",1185.0,"46.4603,6.07564"
SYNOP,SYNO,4102201240,66810.0,STG,St. Gallen,"47.4255,9.39853",776.0,"47.4255,9.39853"
SYNOP,SYNO,4103067262,66820.0,ELM,Elm,"46.9237,9.17535",958.0,"46.9237,9.17535"
SYNOP,SYNO,4110551428,,BIO,Les Bioux,"46.6162,6.26131",1025.0,"46.6162,6.26131"
SYNOP,SYNO,4112647491,,BEY,Bellelay,"47.2645,7.16913",923.0,"47.2645,7.16913"
SYNOP,SYNO,4117944923,66530.0,GES,Gersau,"46.9961,8.52344",521.0,"46.9961,8.52344"
SYNOP,SYNO,4139750522,,SCA,Schänis,"47.1703,9.02075",415.0,"47.1703,9.02075"
SYNOP,SYNO,4147960155,,WET,Weisstannen,"46.9876,9.34355",1010.0,"46.9876,9.34355"
