id_openweathermap,name,country,"Location Lat,Lon",region,city
2658448,Sundlauenen,CH,"46.686272,7.79312",Bern,Sundlauenen
2658449,Sumiswald,CH,"47.02747,7.74526",Bern,Sumiswald
2658452,Sulz,CH,"47.536018,8.09628",Aargau,Laufenburg
2658455,Sulgen,CH,"47.537701,9.18497",Thurgau,Sulgen
2658457,Suhr,CH,"47.371719,8.07967",Aargau,Suhr
2658462,Suchy,CH,"46.723511,6.59935",Vaud,Suchy
2658464,Subingen,CH,"47.198521,7.61949",Solothurn,Subingen
2658468,Stuckishaus,CH,"46.973061,7.43616",Bern,Bremgarten bei Bern
2658469,Strengelbach,CH,"47.279171,7.92895",Aargau,Strengelbach
2658472,Stössen,CH,"46.783329,7.4",Bern,Rüschegg Heubach
2658474,Stoos,CH,"46.976742,8.66323",Schwyz,Morschach
2658477,Stilli,CH,"47.5172,8.23159",Aargau,Villigen
2658478,Stettlen,CH,"46.958351,7.52508",Bern,Stettlen
2658479,Stettfurt,CH,"47.52446,8.95509",Thurgau,Stettfurt
2658480,Sternenberg,CH,"47.383331,8.91667",Zürich,Bauma
2658483,Steinhausen,CH,"47.195099,8.48581",Zug,Steinhausen
2658484,Steinhaus,CH,"46.833881,7.34219",Bern,Schwarzenburg
2658486,Steinerberg,CH,"47.052059,8.58399",Schwyz,Steinerberg
2658488,Steinen,CH,"47.049759,8.61214",Schwyz,Steinen
2658489,Stein am Rhein,CH,"47.659328,8.85964",Schaffhausen,Stein am Rhein
2658490,Stein,CH,"47.544029,7.95256",Aargau,Stein
2658494,Steffisburg,CH,"46.778069,7.63249",Bern,Steffisburg
2658495,Steckborn,CH,"47.666672,8.98333",Thurgau,Steckborn
2658496,Stechelberg,CH,"46.543129,7.90149",Bern,Lauterbrunnen
2658498,Staufen,CH,"47.38372,8.16606",Aargau,Staufen
2658502,Stansstad,CH,"46.976799,8.33553",Nidwalden,Stansstad
2658504,Stans,CH,"46.95845,8.366",Nidwalden,Stans
2658505,Stampa,CH,"46.333328,9.56667",Grisons,Bregaglia
2658508,Stallen,CH,"47.520679,7.56443",Basel-Landschaft,Oberwil
2658509,Staldenried,CH,"46.22937,7.88269",Wallis,Staldenried
2658512,Stalden,CH,"46.23341,7.87273",Wallis,Stalden
2658513,Staffelbach,CH,"47.283951,8.04208",Aargau,Staffelbach
2658518,Stäfa,CH,"47.242538,8.72342",Zürich,Stäfa
2658521,Stabio,CH,"45.85099,8.93918",Ticino,Stabio
2658524,Spreitenbach,CH,"47.420158,8.36301",Aargau,Spreitenbach
2658528,Splügen,CH,"46.553101,9.3231",Graubünden,Rheinwald
2658536,Spiez,CH,"46.684731,7.69111",Bern,Spiez
2658537,Speicher,CH,"47.4109,9.44335",Appenzell Ausserrhoden,Speicher
2658540,Soyhières,CH,"47.38884,7.3662",Jura,Soyhières
2658543,Sottens,CH,"46.655209,6.74197",Vaud,Jorat-Menthue
2658544,Sorte,CH,"46.293221,9.18518",Graubünden,Lostallo
2658546,Sornetan,CH,"47.274609,7.21686",Berne,Petit-Val
2658548,Sorens,CH,"46.668461,7.05693",Fribourg,Sorens
2658549,Sorengo,CH,"45.99855,8.93713",Ticino,Sorengo
2658553,Sonvilier,CH,"47.138828,6.96404",Berne,Sonvilier
2658556,Sonceboz,CH,"47.196541,7.17751",Berne,Sonceboz-Sombeval
2658560,Sommerau,CH,"47.450001,7.85",Basel-Landschaft,Gelterkinden
2658563,Kanton Solothurn,CH,"47.210709,7.52048",Solothurn,Solothurn
2658564,Solothurn,CH,"47.207909,7.53714",Solothurn,Solothurn
2658565,Solduno,CH,"46.168941,8.77808",Ticino,Solduno
2658569,Soazza,CH,"46.365921,9.22155",Graubünden,Soazza
2658572,Sissach,CH,"47.464081,7.80888",Basel-Landschaft,Sissach
2658573,Sisikon,CH,"46.94915,8.62003",Uri,Sisikon
2658574,Siselen,CH,"47.032509,7.19119",Bern,Siselen
2658575,Sirnach,CH,"47.462219,8.99763",Thurgau,Sirnach
2658576,Sitten,CH,"46.22908,7.35942",Valais,Sion
2658577,Sins,CH,"47.192162,8.39578",Aargau,Sins
2658581,Simplon Dorf,CH,"46.194511,8.05753",Wallis,Simplon
2658588,Silvaplana,CH,"46.458099,9.79514",Graubünden,Silvaplana
2658589,Sils im Engadin/Segl,CH,"46.433331,9.76667",Graubünden,Sils im Engadin
2658590,Sils im Domleschg,CH,"46.700409,9.45404",Graubünden,Sils im Domleschg
2658592,Silenen,CH,"46.789101,8.67325",Uri,Silenen
2658594,Sihlbrugg Dorf,CH,"47.183331,8.58333",Zug,Menzingen
2658597,Sigriswil,CH,"46.71656,7.71335",Bern,Sigriswil
2658600,Signau,CH,"46.919441,7.72418",Bern,Signau
2658606,Sierre,CH,"46.29192,7.53559",Valais,Sierre
2658611,Sézegnin,CH,"46.14423,6.01027",Genève,Avusy
2658613,Sevelen,CH,"47.122131,9.48601",Sankt Gallen,Sevelen
2658614,Seuzach / Seuzach (Dorf),CH,"47.53545,8.73728",Zürich,Seuzach
2658615,Seth,CH,"46.783329,9.15",Grisons,Ilanz/Glion
2658623,Seon,CH,"47.344898,8.15607",Aargau,Seon
2658624,Sent,CH,"46.817169,10.33683",Graubünden,Scuol
2658626,Sennwald,CH,"47.260529,9.50268",Sankt Gallen,Sennwald
2658628,Sengg,CH,"46.704411,7.95096",Bern,Iseltwald
2658629,Semsales,CH,"46.573738,6.93018",Fribourg,Semsales
2658631,Sempach,CH,"47.131939,8.19391",Kanton Luzern,Sempach
2658632,Sementina,CH,"46.183632,8.99162",Ticino,Bellinzona
2658633,Sembrancher,CH,"46.077518,7.15279",Valais,Sembrancher
